HomeTeam,AwayTeam,FTHG,FTAG,FTR
AFC Telford United,Brackley Town,1,2,A
AFC Telford United,Hednesford Town,1,1,D
Bedford Town,Buxton,2,1,H
Bedford Town,Darlington,2,3,A
Brackley Town,Hebburn Town,1,1,D
Brackley Town,King's Lynn Town,0,2,A
Buxton,Hebburn Town,1,2,A
Buxton,Hereford,2,1,H
Chester,King's Lynn Town,2,0,H
Chester,Spalding United,1,0,H
Chorley,Chester,1,2,A
Chorley,Scarborough Athletic,2,1,H
Darlington,Chester,0,1,A
Darlington,Worksop Town,1,2,A
Harborough Town,Darlington,4,2,H
Harborough Town,Morecambe,1,0,H
Hebburn Town,Southport,3,1,H
Hebburn Town,Worksop Town,1,0,H
Hednesford Town,Harborough Town,0,0,D
Hednesford Town,Scarborough Athletic,3,4,A
Hednesford Town,Southport,2,2,D
Hereford,Marine,1,0,H
Hereford,Radcliffe,3,0,H
King's Lynn Town,Harborough Town,1,1,D
King's Lynn Town,Marine,1,4,A
Macclesfield,Brackley Town,2,1,H
Macclesfield,Radcliffe,2,1,H
Marine,Chorley,0,2,A
Marine,Macclesfield,0,1,A
Merthyr Town,AFC Telford United,2,2,D
Merthyr Town,Hednesford Town,2,0,H
Morecambe,AFC Telford United,1,0,H
Morecambe,South Shields,0,1,A
Morecambe,Spennymoor Town,1,1,D
Oxford City,Bedford Town,1,0,H
Oxford City,Buxton,0,1,A
Oxford City,Harborough Town,1,1,D
Radcliffe,Morecambe,2,1,H
Radcliffe,Spalding United,0,2,A
Scarborough Athletic,South Shields,0,1,A
Scarborough Athletic,Spennymoor Town,3,0,H
South Shields,Chorley,2,1,H
South Shields,Merthyr Town,1,1,D
Southport,Bedford Town,4,1,H
Southport,Buxton,1,1,D
Spalding United,Macclesfield,0,0,D
Spalding United,Oxford City,0,1,A
Spennymoor Town,Merthyr Town,2,1,H
Spennymoor Town,Oxford City,1,4,A
Worksop Town,AFC Telford United,2,1,H
Worksop Town,Hereford,0,3,A
