HomeTeam,AwayTeam,FTHG,FTAG,FTR
AFC Fylde,AFC Telford United,3,1,H
AFC Fylde,Alfreton Town,2,0,H
AFC Fylde,Banbury United,5,0,H
AFC Fylde,Blyth Spartans,0,3,A
AFC Fylde,Boston United,4,1,H
AFC Fylde,Brackley Town,3,0,H
AFC Fylde,Bradford (Park Avenue),3,1,H
AFC Fylde,Buxton,1,0,H
AFC Fylde,Chester,1,1,D
AFC Fylde,Chorley,1,2,A
AFC Fylde,Curzon Ashton,3,1,H
AFC Fylde,Darlington,3,2,H
AFC Fylde,Farsley Celtic,3,1,H
AFC Fylde,Gloucester City,2,0,H
AFC Fylde,Hereford,1,3,A
AFC Fylde,Kettering Town,2,1,H
AFC Fylde,Kidderminster Harriers,0,2,A
AFC Fylde,King's Lynn Town,3,3,D
AFC Fylde,Leamington,5,1,H
AFC Fylde,Peterborough Sports,1,0,H
AFC Fylde,Scarborough Athletic,0,2,A
AFC Fylde,Southport,1,0,H
AFC Fylde,Spennymoor Town,2,2,D
AFC Telford United,AFC Fylde,0,3,A
AFC Telford United,Alfreton Town,1,2,A
AFC Telford United,Banbury United,2,1,H
AFC Telford United,Blyth Spartans,0,1,A
AFC Telford United,Boston United,1,2,A
AFC Telford United,Brackley Town,0,1,A
AFC Telford United,Bradford (Park Avenue),4,0,H
AFC Telford United,Buxton,1,1,D
AFC Telford United,Chester,0,0,D
AFC Telford United,Chorley,1,0,H
AFC Telford United,Curzon Ashton,2,3,A
AFC Telford United,Darlington,1,4,A
AFC Telford United,Farsley Celtic,1,1,D
AFC Telford United,Gloucester City,0,4,A
AFC Telford United,Hereford,0,1,A
AFC Telford United,Kettering Town,1,1,D
AFC Telford United,Kidderminster Harriers,1,2,A
AFC Telford United,King's Lynn Town,0,4,A
AFC Telford United,Leamington,1,1,D
AFC Telford United,Peterborough Sports,0,1,A
AFC Telford United,Scarborough Athletic,1,1,D
AFC Telford United,Southport,1,1,D
AFC Telford United,Spennymoor Town,1,1,D
Alfreton Town,AFC Fylde,0,1,A
Alfreton Town,AFC Telford United,1,0,H
Alfreton Town,Banbury United,2,0,H
Alfreton Town,Blyth Spartans,1,0,H
Alfreton Town,Boston United,3,1,H
Alfreton Town,Brackley Town,1,0,H
Alfreton Town,Bradford (Park Avenue),0,0,D
Alfreton Town,Buxton,3,0,H
Alfreton Town,Chester,2,2,D
Alfreton Town,Chorley,0,2,A
Alfreton Town,Curzon Ashton,1,2,A
Alfreton Town,Darlington,2,2,D
Alfreton Town,Farsley Celtic,1,0,H
Alfreton Town,Gloucester City,1,2,A
Alfreton Town,Hereford,1,1,D
Alfreton Town,Kettering Town,2,0,H
Alfreton Town,Kidderminster Harriers,1,1,D
Alfreton Town,King's Lynn Town,0,2,A
Alfreton Town,Leamington,2,0,H
Alfreton Town,Peterborough Sports,2,2,D
Alfreton Town,Scarborough Athletic,2,0,H
Alfreton Town,Southport,4,0,H
Alfreton Town,Spennymoor Town,3,2,H
Banbury United,AFC Fylde,3,1,H
Banbury United,AFC Telford United,1,2,A
Banbury United,Alfreton Town,1,1,D
Banbury United,Blyth Spartans,0,0,D
Banbury United,Boston United,0,0,D
Banbury United,Brackley Town,0,1,A
Banbury United,Bradford (Park Avenue),1,0,H
Banbury United,Buxton,1,3,A
Banbury United,Chester,2,2,D
Banbury United,Chorley,3,0,H
Banbury United,Curzon Ashton,0,0,D
Banbury United,Darlington,0,0,D
Banbury United,Farsley Celtic,2,2,D
Banbury United,Gloucester City,1,1,D
Banbury United,Hereford,3,1,H
Banbury United,Kettering Town,0,3,A
Banbury United,Kidderminster Harriers,0,1,A
Banbury United,King's Lynn Town,0,1,A
Banbury United,Leamington,2,2,D
Banbury United,Peterborough Sports,0,0,D
Banbury United,Scarborough Athletic,2,1,H
Banbury United,Southport,3,1,H
Banbury United,Spennymoor Town,0,1,A
Blyth Spartans,AFC Fylde,0,0,D
Blyth Spartans,AFC Telford United,3,0,H
Blyth Spartans,Alfreton Town,2,2,D
Blyth Spartans,Banbury United,1,1,D
Blyth Spartans,Boston United,1,4,A
Blyth Spartans,Brackley Town,1,1,D
Blyth Spartans,Bradford (Park Avenue),0,1,A
Blyth Spartans,Buxton,0,3,A
Blyth Spartans,Chester,0,2,A
Blyth Spartans,Chorley,1,2,A
Blyth Spartans,Curzon Ashton,2,2,D
Blyth Spartans,Darlington,0,0,D
Blyth Spartans,Farsley Celtic,1,1,D
Blyth Spartans,Gloucester City,2,0,H
Blyth Spartans,Hereford,5,0,H
Blyth Spartans,Kettering Town,1,0,H
Blyth Spartans,Kidderminster Harriers,0,1,A
Blyth Spartans,King's Lynn Town,0,0,D
Blyth Spartans,Leamington,2,2,D
Blyth Spartans,Peterborough Sports,1,1,D
Blyth Spartans,Scarborough Athletic,1,2,A
Blyth Spartans,Southport,1,0,H
Blyth Spartans,Spennymoor Town,1,3,A
Boston United,AFC Fylde,0,1,A
Boston United,AFC Telford United,4,1,H
Boston United,Alfreton Town,1,0,H
Boston United,Banbury United,0,1,A
Boston United,Blyth Spartans,3,0,H
Boston United,Brackley Town,1,0,H
Boston United,Bradford (Park Avenue),1,0,H
Boston United,Buxton,3,0,H
Boston United,Chester,2,3,A
Boston United,Chorley,1,4,A
Boston United,Curzon Ashton,0,1,A
Boston United,Darlington,3,1,H
Boston United,Farsley Celtic,4,0,H
Boston United,Gloucester City,2,2,D
Boston United,Hereford,2,4,A
Boston United,Kettering Town,1,1,D
Boston United,Kidderminster Harriers,2,1,H
Boston United,King's Lynn Town,0,2,A
Boston United,Leamington,3,0,H
Boston United,Peterborough Sports,0,0,D
Boston United,Scarborough Athletic,2,2,D
Boston United,Southport,3,5,A
Boston United,Spennymoor Town,1,2,A
Brackley Town,AFC Fylde,1,1,D
Brackley Town,AFC Telford United,1,2,A
Brackley Town,Alfreton Town,1,1,D
Brackley Town,Banbury United,1,1,D
Brackley Town,Blyth Spartans,1,1,D
Brackley Town,Boston United,1,0,H
Brackley Town,Bradford (Park Avenue),4,1,H
Brackley Town,Buxton,2,0,H
Brackley Town,Chester,1,1,D
Brackley Town,Chorley,1,1,D
Brackley Town,Curzon Ashton,1,0,H
Brackley Town,Darlington,3,0,H
Brackley Town,Farsley Celtic,0,3,A
Brackley Town,Gloucester City,4,0,H
Brackley Town,Hereford,2,1,H
Brackley Town,Kettering Town,3,0,H
Brackley Town,Kidderminster Harriers,2,0,H
Brackley Town,King's Lynn Town,1,1,D
Brackley Town,Leamington,1,2,A
Brackley Town,Peterborough Sports,2,0,H
Brackley Town,Scarborough Athletic,2,0,H
Brackley Town,Southport,1,0,H
Brackley Town,Spennymoor Town,2,1,H
Bradford (Park Avenue),AFC Fylde,0,2,A
Bradford (Park Avenue),AFC Telford United,1,0,H
Bradford (Park Avenue),Alfreton Town,3,0,H
Bradford (Park Avenue),Banbury United,1,0,H
Bradford (Park Avenue),Blyth Spartans,0,1,A
Bradford (Park Avenue),Boston United,2,1,H
Bradford (Park Avenue),Brackley Town,1,2,A
Bradford (Park Avenue),Buxton,1,4,A
Bradford (Park Avenue),Chester,1,2,A
Bradford (Park Avenue),Chorley,0,0,D
Bradford (Park Avenue),Curzon Ashton,2,1,H
Bradford (Park Avenue),Darlington,1,3,A
Bradford (Park Avenue),Farsley Celtic,1,1,D
Bradford (Park Avenue),Gloucester City,2,1,H
Bradford (Park Avenue),Hereford,1,0,H
Bradford (Park Avenue),Kettering Town,1,1,D
Bradford (Park Avenue),Kidderminster Harriers,0,1,A
Bradford (Park Avenue),King's Lynn Town,0,1,A
Bradford (Park Avenue),Leamington,3,1,H
Bradford (Park Avenue),Peterborough Sports,1,2,A
Bradford (Park Avenue),Scarborough Athletic,0,0,D
Bradford (Park Avenue),Southport,2,0,H
Bradford (Park Avenue),Spennymoor Town,0,1,A
Buxton,AFC Fylde,2,2,D
Buxton,AFC Telford United,0,2,A
Buxton,Alfreton Town,0,0,D
Buxton,Banbury United,0,4,A
Buxton,Blyth Spartans,1,2,A
Buxton,Boston United,1,0,H
Buxton,Brackley Town,3,1,H
Buxton,Bradford (Park Avenue),2,3,A
Buxton,Chester,0,0,D
Buxton,Chorley,2,2,D
Buxton,Curzon Ashton,1,0,H
Buxton,Darlington,2,1,H
Buxton,Farsley Celtic,2,0,H
Buxton,Gloucester City,2,1,H
Buxton,Hereford,0,1,A
Buxton,Kettering Town,2,2,D
Buxton,Kidderminster Harriers,1,1,D
Buxton,King's Lynn Town,1,0,H
Buxton,Leamington,1,1,D
Buxton,Peterborough Sports,3,0,H
Buxton,Scarborough Athletic,0,1,A
Buxton,Southport,1,0,H
Buxton,Spennymoor Town,2,1,H
Chester,AFC Fylde,0,1,A
Chester,AFC Telford United,1,1,D
Chester,Alfreton Town,1,1,D
Chester,Banbury United,4,2,H
Chester,Blyth Spartans,1,0,H
Chester,Boston United,1,0,H
Chester,Brackley Town,2,0,H
Chester,Bradford (Park Avenue),1,0,H
Chester,Buxton,4,0,H
Chester,Chorley,0,0,D
Chester,Curzon Ashton,2,2,D
Chester,Darlington,0,1,A
Chester,Farsley Celtic,2,2,D
Chester,Gloucester City,1,1,D
Chester,Hereford,0,1,A
Chester,Kettering Town,4,0,H
Chester,Kidderminster Harriers,2,0,H
Chester,King's Lynn Town,3,3,D
Chester,Leamington,1,1,D
Chester,Peterborough Sports,0,1,A
Chester,Scarborough Athletic,2,2,D
Chester,Southport,1,0,H
Chester,Spennymoor Town,1,2,A
Chorley,AFC Fylde,0,1,A
Chorley,AFC Telford United,1,0,H
