HomeTeam,AwayTeam,FTHG,FTAG,FTR
Alfreton Town,Banbury United,2,0,H
Alfreton Town,Bishop's Stortford,3,0,H
Alfreton Town,Blyth Spartans,3,0,H
Alfreton Town,Boston United,4,0,H
Alfreton Town,Brackley Town,0,1,A
Alfreton Town,Buxton,2,1,H
Alfreton Town,Chester,1,1,D
Alfreton Town,Chorley,2,0,H
Alfreton Town,Curzon Ashton,0,0,D
Alfreton Town,Darlington,2,3,A
Alfreton Town,Farsley Celtic,2,0,H
Alfreton Town,Gloucester City,3,0,H
Alfreton Town,Hereford,3,1,H
Alfreton Town,King's Lynn Town,1,1,D
Alfreton Town,Peterborough Sports,2,1,H
Alfreton Town,Rushall Olympic,1,0,H
Alfreton Town,Scarborough Athletic,1,3,A
Alfreton Town,Scunthorpe United,2,2,D
Alfreton Town,South Shields,1,0,H
Alfreton Town,Southport,3,1,H
Alfreton Town,Spennymoor Town,2,1,H
Alfreton Town,Tamworth,0,0,D
Alfreton Town,Warrington Town,1,1,D
Banbury United,Alfreton Town,0,0,D
Banbury United,Bishop's Stortford,2,2,D
Banbury United,Blyth Spartans,0,0,D
Banbury United,Boston United,0,1,A
Banbury United,Brackley Town,0,1,A
Banbury United,Buxton,0,3,A
Banbury United,Chester,1,0,H
Banbury United,Chorley,1,4,A
Banbury United,Curzon Ashton,0,1,A
Banbury United,Darlington,2,1,H
Banbury United,Farsley Celtic,1,1,D
Banbury United,Gloucester City,1,2,A
Banbury United,Hereford,1,2,A
Banbury United,King's Lynn Town,1,1,D
Banbury United,Peterborough Sports,0,3,A
Banbury United,Rushall Olympic,1,2,A
Banbury United,Scarborough Athletic,1,0,H
Banbury United,Scunthorpe United,0,2,A
Banbury United,South Shields,0,3,A
Banbury United,Southport,0,1,A
Banbury United,Spennymoor Town,0,3,A
Banbury United,Tamworth,0,3,A
Banbury United,Warrington Town,3,0,H
Bishop's Stortford,Alfreton Town,0,4,A
Bishop's Stortford,Banbury United,3,1,H
Bishop's Stortford,Blyth Spartans,1,3,A
Bishop's Stortford,Boston United,1,0,H
Bishop's Stortford,Brackley Town,1,2,A
Bishop's Stortford,Buxton,3,1,H
Bishop's Stortford,Chester,2,0,H
Bishop's Stortford,Chorley,1,4,A
Bishop's Stortford,Curzon Ashton,0,0,D
Bishop's Stortford,Darlington,1,0,H
Bishop's Stortford,Farsley Celtic,0,1,A
Bishop's Stortford,Gloucester City,1,4,A
Bishop's Stortford,Hereford,0,1,A
Bishop's Stortford,King's Lynn Town,0,2,A
Bishop's Stortford,Peterborough Sports,0,2,A
Bishop's Stortford,Rushall Olympic,1,4,A
Bishop's Stortford,Scarborough Athletic,0,2,A
Bishop's Stortford,Scunthorpe United,0,5,A
Bishop's Stortford,South Shields,2,3,A
Bishop's Stortford,Southport,2,3,A
Bishop's Stortford,Spennymoor Town,0,1,A
Bishop's Stortford,Tamworth,1,2,A
Bishop's Stortford,Warrington Town,1,4,A
Blyth Spartans,Alfreton Town,1,3,A
Blyth Spartans,Banbury United,2,2,D
Blyth Spartans,Bishop's Stortford,3,0,H
Blyth Spartans,Boston United,2,2,D
Blyth Spartans,Brackley Town,1,5,A
Blyth Spartans,Buxton,3,2,H
Blyth Spartans,Chester,2,2,D
Blyth Spartans,Chorley,1,1,D
Blyth Spartans,Curzon Ashton,2,3,A
Blyth Spartans,Darlington,1,2,A
Blyth Spartans,Farsley Celtic,4,0,H
Blyth Spartans,Gloucester City,4,2,H
Blyth Spartans,Hereford,2,1,H
Blyth Spartans,King's Lynn Town,0,1,A
Blyth Spartans,Peterborough Sports,2,3,A
Blyth Spartans,Rushall Olympic,1,2,A
Blyth Spartans,Scarborough Athletic,0,1,A
Blyth Spartans,Scunthorpe United,1,1,D
Blyth Spartans,South Shields,2,1,H
Blyth Spartans,Southport,3,3,D
Blyth Spartans,Spennymoor Town,2,0,H
Blyth Spartans,Tamworth,0,1,A
Blyth Spartans,Warrington Town,1,2,A
Boston United,Alfreton Town,3,1,H
Boston United,Banbury United,1,2,A
Boston United,Bishop's Stortford,3,0,H
Boston United,Blyth Spartans,3,1,H
Boston United,Brackley Town,1,2,A
Boston United,Buxton,2,3,A
Boston United,Chester,1,0,H
Boston United,Chorley,2,2,D
Boston United,Curzon Ashton,1,1,D
Boston United,Darlington,2,0,H
Boston United,Farsley Celtic,3,0,H
Boston United,Gloucester City,1,0,H
Boston United,Hereford,1,0,H
Boston United,King's Lynn Town,2,0,H
Boston United,Peterborough Sports,2,1,H
Boston United,Rushall Olympic,0,1,A
Boston United,Scarborough Athletic,0,0,D
Boston United,Scunthorpe United,1,1,D
Boston United,South Shields,3,1,H
Boston United,Southport,3,0,H
Boston United,Spennymoor Town,1,2,A
Boston United,Tamworth,0,2,A
Boston United,Warrington Town,2,0,H
Brackley Town,Alfreton Town,1,0,H
Brackley Town,Banbury United,3,1,H
Brackley Town,Bishop's Stortford,1,0,H
Brackley Town,Blyth Spartans,1,1,D
Brackley Town,Boston United,2,1,H
Brackley Town,Buxton,2,1,H
Brackley Town,Chester,3,1,H
Brackley Town,Chorley,1,0,H
Brackley Town,Curzon Ashton,0,2,A
Brackley Town,Darlington,1,0,H
Brackley Town,Farsley Celtic,0,0,D
Brackley Town,Gloucester City,2,0,H
Brackley Town,Hereford,2,0,H
Brackley Town,King's Lynn Town,1,3,A
Brackley Town,Peterborough Sports,3,1,H
Brackley Town,Rushall Olympic,0,1,A
Brackley Town,Scarborough Athletic,0,1,A
Brackley Town,Scunthorpe United,2,0,H
Brackley Town,South Shields,1,1,D
Brackley Town,Southport,0,0,D
Brackley Town,Spennymoor Town,3,1,H
Brackley Town,Tamworth,3,0,H
Brackley Town,Warrington Town,2,0,H
Buxton,Alfreton Town,1,2,A
Buxton,Banbury United,3,1,H
Buxton,Bishop's Stortford,2,0,H
Buxton,Blyth Spartans,3,0,H
Buxton,Boston United,1,1,D
Buxton,Brackley Town,0,0,D
Buxton,Chester,1,4,A
Buxton,Chorley,3,1,H
Buxton,Curzon Ashton,1,1,D
Buxton,Darlington,5,0,H
Buxton,Farsley Celtic,1,2,A
Buxton,Gloucester City,2,0,H
Buxton,Hereford,2,1,H
Buxton,King's Lynn Town,2,2,D
Buxton,Peterborough Sports,2,2,D
Buxton,Rushall Olympic,2,2,D
Buxton,Scarborough Athletic,0,0,D
Buxton,Scunthorpe United,0,0,D
Buxton,South Shields,0,2,A
Buxton,Southport,0,1,A
Buxton,Spennymoor Town,0,2,A
Buxton,Tamworth,2,1,H
Buxton,Warrington Town,0,6,A
Chester,Alfreton Town,0,2,A
Chester,Banbury United,1,1,D
Chester,Bishop's Stortford,2,0,H
Chester,Blyth Spartans,2,1,H
Chester,Boston United,0,0,D
Chester,Brackley Town,1,0,H
Chester,Buxton,0,1,A
Chester,Chorley,0,0,D
Chester,Curzon Ashton,0,0,D
Chester,Darlington,0,0,D
Chester,Farsley Celtic,2,0,H
Chester,Gloucester City,3,0,H
Chester,Hereford,1,2,A
Chester,King's Lynn Town,3,0,H
Chester,Peterborough Sports,3,2,H
Chester,Rushall Olympic,0,1,A
Chester,Scarborough Athletic,3,0,H
Chester,Scunthorpe United,2,0,H
Chester,South Shields,0,1,A
Chester,Southport,0,1,A
Chester,Spennymoor Town,1,1,D
Chester,Tamworth,2,0,H
Chester,Warrington Town,2,0,H
Chorley,Alfreton Town,3,2,H
Chorley,Banbury United,3,0,H
Chorley,Bishop's Stortford,2,1,H
Chorley,Blyth Spartans,2,0,H
Chorley,Boston United,0,3,A
Chorley,Brackley Town,1,1,D
Chorley,Buxton,3,2,H
Chorley,Chester,0,2,A
Chorley,Curzon Ashton,4,0,H
Chorley,Darlington,8,0,H
Chorley,Farsley Celtic,1,1,D
Chorley,Gloucester City,3,1,H
Chorley,Hereford,1,2,A
Chorley,King's Lynn Town,3,1,H
Chorley,Peterborough Sports,2,0,H
Chorley,Rushall Olympic,2,1,H
Chorley,Scarborough Athletic,3,0,H
Chorley,Scunthorpe United,1,1,D
Chorley,South Shields,2,1,H
Chorley,Southport,3,0,H
Chorley,Spennymoor Town,2,1,H
Chorley,Tamworth,1,0,H
Chorley,Warrington Town,0,1,A
Curzon Ashton,Alfreton Town,2,1,H
Curzon Ashton,Banbury United,4,1,H
Curzon Ashton,Bishop's Stortford,1,0,H
Curzon Ashton,Blyth Spartans,3,1,H
Curzon Ashton,Boston United,3,1,H
Curzon Ashton,Brackley Town,2,0,H
Curzon Ashton,Buxton,0,3,A
Curzon Ashton,Chester,0,1,A
Curzon Ashton,Chorley,0,1,A
Curzon Ashton,Darlington,1,3,A
Curzon Ashton,Farsley Celtic,0,0,D
Curzon Ashton,Gloucester City,4,1,H
Curzon Ashton,Hereford,1,0,H
Curzon Ashton,King's Lynn Town,1,1,D
Curzon Ashton,Peterborough Sports,1,2,A
Curzon Ashton,Rushall Olympic,1,1,D
Curzon Ashton,Scarborough Athletic,0,1,A
Curzon Ashton,Scunthorpe United,1,0,H
Curzon Ashton,South Shields,2,0,H
Curzon Ashton,Southport,3,2,H
Curzon Ashton,Spennymoor Town,0,3,A
Curzon Ashton,Tamworth,0,1,A
Curzon Ashton,Warrington Town,0,3,A
Darlington,Alfreton Town,0,2,A
Darlington,Banbury United,3,1,H
Darlington,Bishop's Stortford,0,2,A
Darlington,Blyth Spartans,0,0,D
Darlington,Boston United,0,0,D
Darlington,Brackley Town,1,1,D
Darlington,Buxton,2,1,H
Darlington,Chester,3,2,H
Darlington,Chorley,0,3,A
Darlington,Curzon Ashton,1,3,A
Darlington,Farsley Celtic,3,1,H
Darlington,Gloucester City,1,1,D
Darlington,Hereford,2,0,H
Darlington,King's Lynn Town,1,2,A
Darlington,Peterborough Sports,1,0,H
Darlington,Rushall Olympic,1,1,D
Darlington,Scarborough Athletic,0,1,A
Darlington,Scunthorpe United,4,0,H
Darlington,South Shields,2,2,D
Darlington,Southport,2,0,H
Darlington,Spennymoor Town,1,2,A
Darlington,Tamworth,0,1,A
Darlington,Warrington Town,1,1,D
Farsley Celtic,Alfreton Town,2,3,A
Farsley Celtic,Banbury United,0,1,A
Farsley Celtic,Bishop's Stortford,3,1,H
Farsley Celtic,Blyth Spartans,1,0,H
Farsley Celtic,Boston United,2,0,H
Farsley Celtic,Brackley Town,1,4,A
Farsley Celtic,Buxton,2,0,H
Farsley Celtic,Chester,1,2,A
Farsley Celtic,Chorley,1,1,D
Farsley Celtic,Curzon Ashton,2,1,H
Farsley Celtic,Darlington,1,2,A
Farsley Celtic,Gloucester City,1,0,H
Farsley Celtic,Hereford,0,0,D
Farsley Celtic,King's Lynn Town,0,0,D
Farsley Celtic,Peterborough Sports,1,0,H
Farsley Celtic,Rushall Olympic,1,4,A
Farsley Celtic,Scarborough Athletic,2,0,H
Farsley Celtic,Scunthorpe United,0,2,A
Farsley Celtic,South Shields,1,1,D
Farsley Celtic,Southport,0,0,D
Farsley Celtic,Spennymoor Town,0,0,D
Farsley Celtic,Tamworth,2,2,D
Farsley Celtic,Warrington Town,0,2,A
Gloucester City,Alfreton Town,3,0,H
Gloucester City,Banbury United,0,2,A
Gloucester City,Bishop's Stortford,1,1,D
Gloucester City,Blyth Spartans,0,1,A
Gloucester City,Boston United,3,7,A
Gloucester City,Brackley Town,1,1,D
Gloucester City,Buxton,0,0,D
Gloucester City,Chester,1,6,A
Gloucester City,Chorley,0,2,A
Gloucester City,Curzon Ashton,3,0,H
Gloucester City,Darlington,0,1,A
Gloucester City,Farsley Celtic,0,1,A
Gloucester City,Hereford,2,3,A
Gloucester City,King's Lynn Town,1,2,A
Gloucester City,Peterborough Sports,2,1,H
Gloucester City,Rushall Olympic,2,0,H
Gloucester City,Scarborough Athletic,1,0,H
Gloucester City,Scunthorpe United,1,2,A
Gloucester City,South Shields,0,5,A
Gloucester City,Southport,2,2,D
Gloucester City,Spennymoor Town,4,2,H
Gloucester City,Tamworth,1,2,A
Gloucester City,Warrington Town,1,3,A
Hereford,Alfreton Town,3,3,D
Hereford,Banbury United,4,1,H
Hereford,Bishop's Stortford,1,0,H
Hereford,Blyth Spartans,5,2,H
Hereford,Boston United,0,2,A
Hereford,Brackley Town,1,0,H
Hereford,Buxton,2,2,D
Hereford,Chester,1,1,D
Hereford,Chorley,0,1,A
Hereford,Curzon Ashton,3,1,H
Hereford,Darlington,1,0,H
Hereford,Farsley Celtic,4,1,H
Hereford,Gloucester City,1,1,D
Hereford,King's Lynn Town,2,2,D
